ITEM_NAME,ITEM_CODE,A1_ITEM_CODE,Retailer Item Code,Description,A1_RET_ITEM_CODE,A1 Item Description,Visits(Base Item and A1 Purchased)#,Visits(Base Item and A1 Purchased)%,A1_ITEM_NAME,TITLE
BROWNS DIGI CAMO CAP,929209,104364,1202544884,BROWNS DIGI CAMO CAP,273680394,S PACZKI - 6 COUNT,1,100,S PACZKI - 6 COUNT,
BROWNS DIGI CAMO CAP,929209,121789,1202544884,BROWNS DIGI CAMO CAP,49636000,HORMEL CHILI NO BEAN,1,100,HORMEL CHILI NO BEAN,
BROWNS FLEECE PULLOVER TEM,929201,12340,1202544877,BROWNS FLEECE PULLOVER TEM,8927242,KR SOFT CREAM CHEESE 12 0Z(43314),2,100,TRIDENT ORIGINAL VALU PK,
BROWNS FLEECE PULLOVER TEM,929201,12341,1202544877,BROWNS FLEECE PULLOVER TEM,8923502,BM MEDIUM STORABM BAGS(15227),2,100,MC GOURMET CUMIN SEED,
BROWNS PASSING GAME L SLEVE,0,0,1202464080,NUTS,1200656349,SOFT DRINKS,1,100,LIME 2 LB,
BROWNS PASSING GAME L SLEVE,0,0,1202464080,COOKED SHRIMP,1201380482,CHILDREN'S VIDEOS,1,100,SUSHIC SPICY CRAB ROLL,
BROWNS PASSING GAME L SLEVE,0,0,1202464080,BULK/PKG FOODS,1200656349,PLAYBALLS,1,100,LIME 2 LB,
BROWNS PASSING GAME L SLEVE,431672,113303,1202464080,BROWNS PASSING GAME L SLEVE,1200217613,BABY CARROTS 2LB PEELED,1,100,BABY CARROTS 2LB PEELED,
BROWNS PASSING GAME L SLEVE,431672,100803,1202464080,BROWNS PASSING GAME L SLEVE,1200656349,LIME 2 LB,1,100,LIME 2 LB,
BROWNS PASSING GAME L SLEVE,431672,101726,1202464080,BROWNS PASSING GAME L SLEVE,1201380482,SUSHIC SPICY CRAB ROLL,1,100,SUSHIC SPICY CRAB ROLL,
BROWNS PASSING GAME LSLEEVE,0,0,1202464079,PITTSBURGH STEELERS,1200455526,SPECIALTY SALAD DRESSING,1,100,GM CHEERIOS,
BROWNS PASSING GAME LSLEEVE,431904,105118,1202464079,BROWNS PASSING GAME LSLEEVE,1200455526,GM CHEERIOS,1,100,GM CHEERIOS,
BROWNS PASSING GAME LSLEEVE,431904,103089,1202464079,BROWNS PASSING GAME LSLEEVE,267146739,F.EXPRESS: HEARTS OF ROMAINE,1,100,F.EXPRESS: HEARTS OF ROMAINE,
BROWNS PASSING GAME LSLEEVE,431904,110962,1202464079,BROWNS PASSING GAME LSLEEVE,1201203313,ES SWEET KALE SALAD,1,100,ES SWEET KALE SALAD,
BROWNS PASSING GAME LSLEEVE,431904,104190,1202464079,BROWNS PASSING GAME LSLEEVE,620000235,APL GRANNY SMITH 3 LB,1,100,APL GRANNY SMITH 3 LB,
BROWNS SHIRT T,929196,104364,1202544872,BROWNS SHIRT T,273680394,S PACZKI - 6 COUNT,2,100,S PACZKI - 6 COUNT,
BROWNS SHIRT T,929197,12313,1202544871,BROWNS SHIRT T,8925298,OM REG LUNCHABLES(9985),2,100,SNYDERS YORK PEPPERMINT PRETZE,
BROWNS SHIRT T ALT 1,929200,113303,1202544875,BROWNS SHIRT T ALT 1,1200217613,BABY CARROTS 2LB PEELED,2,100,BABY CARROTS 2LB PEELED,
BROWNS SHIRT T ALT 1,929200,104364,1202544875,BROWNS SHIRT T ALT 1,273680394,S PACZKI - 6 COUNT,2,100,S PACZKI - 6 COUNT,
BROWNS SHIRT T VERTICAL ATTACK,0,0,1202544874,ENTERTAINMENT/VIDEO,1200656349,VITAMINS,1,100,LIME 2 LB,
BROWNS SHIRT T VERTICAL ATTACK,0,0,1202544874,HOUSEWARES,1200656349,SPECIALTY FOODS,1,100,LIME 2 LB,
BROWNS SHIRT T VERTICAL ATTACK,929198,113303,1202544874,BROWNS SHIRT T VERTICAL ATTACK,1200217613,BABY CARROTS 2LB PEELED,1,100,BABY CARROTS 2LB PEELED,
BROWNS SHIRT T VERTICAL ATTACK,929198,100803,1202544874,BROWNS SHIRT T VERTICAL ATTACK,1200656349,LIME 2 LB,1,100,LIME 2 LB,
BROWNS SHIRT T VERTICAL ATTACK,929198,106045,1202544874,BROWNS SHIRT T VERTICAL ATTACK,157000774,ONION WHITE 12/2 LB,1,100,ONION WHITE 12/2 LB,
BROWNS SLEEVE SLEEVE TEM,929202,113303,1202544876,BROWNS SLEEVE SLEEVE TEM,1200217613,BABY CARROTS 2LB PEELED,1,100,BABY CARROTS 2LB PEELED,
BROWNS SLEEVE SLEEVE TEM,929202,115046,1202544876,BROWNS SLEEVE SLEEVE TEM,597000934,POT YUKON GOLD 5 LB,1,100,POT YUKON GOLD 5 LB,
BROWNS SOCKS MEN BR/OR TONE 2,0,0,8933753,LIQUOR-42 PROOF OR LESS,273680394,ELECTRO.WET MOPS AND CLOTHES,3,100,S PACZKI - 6 COUNT,
BROWNS SOCKS MEN BR/OR TONE 2,0,0,8933753,LTD SCAN BASED TRADING,273680394,ALL OTHER STATIONERY,3,100,S PACZKI - 6 COUNT,
BROWNS SOCKS MEN BR/OR TONE 2,18025,104364,8933753,FISH EYE 3 LITER(163522),273680394,S PACZKI - 6 COUNT,3,100,S PACZKI - 6 COUNT,
BROWNS T T SHIRT,929199,113303,1202544873,BROWNS T T SHIRT,1200217613,BABY CARROTS 2LB PEELED,2,100,BABY CARROTS 2LB PEELED,
BROWNS T T SHIRT,929199,12414,1202544873,BROWNS T T SHIRT,8924751,LAND O LAKES 1/2 & 1/2 32 OZ.(14729),2,100,MARLEY GREEN TEA WITH HONEY,
BROWNS WINSTON TEM CAP,929206,106584,1202544880,BROWNS WINSTON TEM CAP,1200002007,CARROT PREMIUM PETITES,1,100,CARROT PREMIUM PETITES,
BROWNS WINSTON TEM CAP,929206,103347,1202544880,BROWNS WINSTON TEM CAP,1201727954,FRNCH SPICY BROWN DELI MUSTARD,1,100,FRNCH SPICY BROWN DELI MUSTARD,
BROWNS WINSTON TEM CAP,929206,107671,1202544880,BROWNS WINSTON TEM CAP,566431157,REV*NAIL CLIPPER-23241 DLX,1,100,REV*NAIL CLIPPER-23241 DLX,
BROWNS WINSTON TEM CAP,929206,110591,1202544880,BROWNS WINSTON TEM CAP,1201390710,COMSTOCK MORE FRUIT APPLE  PIE,1,100,COMSTOCK MORE FRUIT APPLE  PIE,
BROWNS ZIP PULLOVER,929159,12900,1202544869,BROWNS ZIP PULLOVER,8934636,FANCY FEAST WET CAT FOOD(6335),3,100,PINN PENGUINS YOUTH KNIT CAP,
BTN THIN SHELL ALMONDS,0,0,8942104,WINE - OTHER WHITE,39906754,CREAM CHEESE,1,100,SNYDERS OF BERLIN CARAMEL CORN,
BTN THIN SHELL ALMONDS,19079,12399,8942104,SMOKERS CHOICE LIL CIGARS(204858),8925245,DANNON YOGURT 32 OZ(14602),1,100,BM LOW SLIDER BAGS QUART,
BTN THIN SHELL ALMONDS,19079,12361,8942104,SMOKERS CHOICE LIL CIGARS(204858),8920543,PALL MALL FILTERS CARTONS(6172),1,100,PIEROGIES FULL PAN,
BTN THIN SHELL ALMONDS,19079,108992,8942104,SMOKERS CHOICE LIL CIGARS(204858),39906754,SNYDERS OF BERLIN CARAMEL CORN,1,100,SNYDERS OF BERLIN CARAMEL CORN,
BUD ICE 22 OZ NR,41448,15728,9001620,PABST COFFEE 4PK CANS(372995),8933741,BAREFOOT CELL 1.5 LT(182833),19,57.57575758,10 LICENSED PLAYBALLS,
CLOS DU BOIS CHARDONNAY,39450,15576,710944000,CLOS DU BOIS CHARDONNAY,8925658,8 PIECE(214334),13,76.47058824,LOREAL KIDS CARN BRY RND SHMPO,Clos Du Bois Chardonnay White Wine
BUD LIGHT 30PK CANS,141063,28493,1200148277,BUD LIGHT 30PK CANS,8934926,ITALIAN BREAD(316129),17,100,UTZ CHOC COVERED PRETZELS,
BUD LIGHT PLATINUM 12PK CANS,112809,22031,1201212362,BUD LIGHT PLATINUM 12PK CANS,8932742,FOUR LOKO 23.5 OZ CANS(291525),4,100,SKITTLE FUN SIZE,
BUD LT MIXXTAIL FIREWALKER 8AL,40270,121483,9000240,WHIPLASH RED(368887),62200000,HUNT TOMATO SAUCE,2,100,HUNT TOMATO SAUCE,
BUD LT MIXXTAIL FIREWALKER 8AL,40270,12386,9000240,WHIPLASH RED(368887),8920086,FRISKIES WET CAT FOOD 5.5 OZ(11825),2,100,"FW 19"" CAGE W/ZOMBIE FIGURE",
BUDWEISER NA PROHIBITION 12PK,0,0,1202252813,ROSE BOUQUETS,1200068372,COSMETICS & COTTON,1,100,SPECTRUM ORGANIC FLAX OIL,
BUDWEISER NA PROHIBITION 12PK,0,0,1202252813,CANNED HAMS,1200068372,KOSHER ITEMS,1,100,SPECTRUM ORGANIC FLAX OIL,
BUDWEISER NA PROHIBITION 12PK,800594,101355,1202252813,BUDWEISER NA PROHIBITION 12PK,1200068372,SPECTRUM ORGANIC FLAX OIL,1,100,SPECTRUM ORGANIC FLAX OIL,
BUDWEISER NA PROHIBITION 12PK,800594,113718,1202252813,BUDWEISER NA PROHIBITION 12PK,664842112,AQUAFINA WATER 24OZ 6PK,1,100,AQUAFINA WATER 24OZ 6PK,
BULB VINTAGE 40W T14,22022,136172,8937219,PURINA LITTLE BITES(8609),330064000,G.E. KING SIZE WHITE BREAD,16,88.88888889,G.E. KING SIZE WHITE BREAD,
BULLETPROOF BRAIN OCTANE OIL,944188,113303,1202570689,BULLETPROOF BRAIN OCTANE OIL,1200217613,BABY CARROTS 2LB PEELED,2,100,BABY CARROTS 2LB PEELED,
BULLETPROOF BRAIN OCTANE OIL,944188,115046,1202570689,BULLETPROOF BRAIN OCTANE OIL,597000934,POT YUKON GOLD 5 LB,2,100,POT YUKON GOLD 5 LB,
COCOBON RED BLEND,212402,15576,1201209410,COCOBON RED BLEND,8925658,8 PIECE(214334),11,55,LOREAL KIDS CARN BRY RND SHMPO,Cocobon Red Blend Red Wine
COCOBON RED BLEND,212402,15728,1201209410,COCOBON RED BLEND,8933741,BAREFOOT CELL 1.5 LT(182833),10,50,10 LICENSED PLAYBALLS,Cocobon Red Blend Red Wine
BULLY HILL LOVE MY GOAT RED,73476,12008,444379379,BULLY HILL LOVE MY GOAT RED,111484000,CDNC BRACH JUBE JEL CHERRY HRT,2,100,CDNC BRACH JUBE JEL CHERRY HRT,
BULLY HILL SWEET WALTER WHITE,99478,123215,497928505,BULLY HILL SWEET WALTER WHITE,4828000,KR PHILA CRM CHS BRICK,4,100,KR PHILA CRM CHS BRICK,
BUMBLE-ARDY,40336,232694,9000402,TOTINOS 130CT(369806),1201172831,BM WATER .5L 24PK,353,79.68397291,BM WATER .5L 24PK,
BUNNY BEE SAUKERKRAUT BALLS,142767,12288,1200844737,BUNNY BEE SAUKERKRAUT BALLS,8928688,MAMA MARYS PIZZA CRUST(210394),1,100,CHICKEN BUFFALO MEATBALLS,
BUNNY BEE SAUKERKRAUT BALLS,142767,116108,1200844737,BUNNY BEE SAUKERKRAUT BALLS,1200009862,DASANI .5 LT 24 PK,1,100,DASANI .5 LT 24 PK,
BUNNY BEE SAUKERKRAUT BALLS,142767,118197,1200844737,BUNNY BEE SAUKERKRAUT BALLS,1201171611,LAMB GROUND CS READY GRS FD,1,100,LAMB GROUND CS READY GRS FD,
BUNNY WORDS,14906,17451,8933780,CHI CHI'S 1.75 LITER(241993),8931948,OREO-NABISCO(219706),17,80.95238095,SATAY SPECIAL,
BUNNY WORDS,14906,21049,8933780,CHI CHI'S 1.75 LITER(241993),8926075,ROTISSERIE CHICKEN(219219),17,80.95238095,BC SCOOBY-DOO FRUIT SNACKS,
BURLEY OAK LOST 4PK CANS,965739,15728,1202597360,BURLEY OAK LOST 4PK CANS,8933741,BAREFOOT CELL 1.5 LT(182833),3,75,10 LICENSED PLAYBALLS,
BURLEY OAK LOST 4PK CANS,965739,21049,1202597360,BURLEY OAK LOST 4PK CANS,8926075,ROTISSERIE CHICKEN(219219),3,75,BC SCOOBY-DOO FRUIT SNACKS,
BURNETTS CHERRY VODKA,345244,131587,1200756727,BURNETTS CHERRY VODKA,1201366321,ADVIL PM LIQUIGELS 40CT,1,50,ADVIL PM LIQUIGELS 40CT,
BURNING DAWN,30728,12313,8946128,REVLON COLORSTAY BROW MOUSSE(322503),8925298,OM REG LUNCHABLES(9985),4,100,SNYDERS YORK PEPPERMINT PRETZE,
COLE AND MASON DOU O,799753,113303,1202252045,COLE AND MASON DOU O,1200217613,BABY CARROTS 2LB PEELED,1,100,BABY CARROTS 2LB PEELED,Cole & Mason 15.5 Oz. Duo Oil & Vinegar Dispenser Bottle
COLE AND MASON DOU O,799753,110962,1202252045,COLE AND MASON DOU O,1201203313,ES SWEET KALE SALAD,1,100,ES SWEET KALE SALAD,Cole & Mason 15.5 Oz. Duo Oil & Vinegar Dispenser Bottle
COLE AND MASON DOU O,799753,115891,1202252045,COLE AND MASON DOU O,1200016759,KERRY GOLD IRISH BUTTER,1,100,KERRY GOLD IRISH BUTTER,Cole & Mason 15.5 Oz. Duo Oil & Vinegar Dispenser Bottle
COMPOUND W NITROFREEZE SPRAY,866952,12892,1202354996,COMPOUND W NITROFREEZE SPRAY,8926516,CAMPBELLS CONDENSED SOUPS(579),6,100,ALLE GROUND BEEF 80% LEAN,Compound W Maximum Strength NitroFreeze Wart Remover
BUSCH LIGHT 12PK CANS,0,0,8926754,SHELLFISH,1201063070,CREAM CHEESE,1,100,STAUFFER'S ANIMAL CRACKER-BAG,
CONAIR SATINY SMOOTH ALL N ONE,471604,103312,1201753249,CONAIR SATINY SMOOTH ALL N ONE,526000070,CHICKN GE 806 SPLIT BREAST USA,1,100,CHICKN GE 806 SPLIT BREAST USA,Conair Satiny Smooth Ladies All-in-One Personal Groomer Ltgs40rcs
CONAIR SATINY SMOOTH ALL N ONE,471604,110962,1201753249,CONAIR SATINY SMOOTH ALL N ONE,1201203313,ES SWEET KALE SALAD,1,100,ES SWEET KALE SALAD,Conair Satiny Smooth Ladies All-in-One Personal Groomer Ltgs40rcs
CONAIR SATINY SMOOTH ALL N ONE,471604,104364,1201753249,CONAIR SATINY SMOOTH ALL N ONE,273680394,S PACZKI - 6 COUNT,1,100,S PACZKI - 6 COUNT,Conair Satiny Smooth Ladies All-in-One Personal Groomer Ltgs40rcs
CONAIR SATINY SMOOTH ALL N ONE,471604,103909,1201753249,CONAIR SATINY SMOOTH ALL N ONE,1201729743,MD SRIRACHA SAUCE,1,100,MD SRIRACHA SAUCE,Conair Satiny Smooth Ladies All-in-One Personal Groomer Ltgs40rcs
KNOT DR. PRO WITH CASE GREEN,875387,115046,1202391403,KNOT DR. PRO WITH CASE GREEN,597000934,POT YUKON GOLD 5 LB,2,100,POT YUKON GOLD 5 LB,Conair The Knot Dr Green Pro Wet & Dry Detangler Hairbrush
LADIES TWIN FOIL SHAVER,258506,118197,1201309408,LADIES TWIN FOIL SHAVER,1201171611,LAMB GROUND CS READY GRS FD,2,100,LAMB GROUND CS READY GRS FD,"Conair Women's Dual Foil Battery Shaver, Model LWD1RP - 1.0 Ea"
BUZZBALLZ CHILLER WATERMELON,31147,104364,8937629,UBER USB 4(323889),273680394,S PACZKI - 6 COUNT,2,100,S PACZKI - 6 COUNT,
BUZZBALLZ CHILLER WATERMELON,31147,115046,8937629,UBER USB 4(323889),597000934,POT YUKON GOLD 5 LB,2,100,POT YUKON GOLD 5 LB,
C ARTS LIFE IN THE CLOUDS 4PK,0,0,1202339514,WINE - BLUSH WINES,1200704969,PRETZELS,1,100,ORG WRAPPED PEPPER GREEN,
C ARTS LIFE IN THE CLOUDS 4PK,0,0,1202339514,WINE - BLUSH WINES,1200704969,SHAMPOOS,1,100,ORG WRAPPED PEPPER GREEN,
C ARTS LIFE IN THE CLOUDS 4PK,0,0,1202339514,WINE - BLUSH WINES,1200704969,STARBUCKS VIA,1,100,ORG WRAPPED PEPPER GREEN,
C ARTS LIFE IN THE CLOUDS 4PK,0,0,1202339514,WINE - BOX,1200704969,CHILDREN'S VIDEOS,1,100,ORG WRAPPED PEPPER GREEN,
C ARTS LIFE IN THE CLOUDS 4PK,847833,108705,1202339514,C ARTS LIFE IN THE CLOUDS 4PK,1200704969,ORG WRAPPED PEPPER GREEN,1,100,ORG WRAPPED PEPPER GREEN,
C ARTS LIFE IN THE CLOUDS 4PK,847833,13616,1202339514,C ARTS LIFE IN THE CLOUDS 4PK,8923250,BLUE MOON 6 PK NR(287229),1,100,PUMPKIN,
C.Y. CAJUN BEEF PATTY SEASON,39300,15576,8998789,TRULY SPIKED & SPARKLING 6PK(293341),8925658,8 PIECE(214334),42,40.38461538,LOREAL KIDS CARN BRY RND SHMPO,
C4 RIPPED SPORT FP 30 SERV,885395,12892,1202411853,C4 RIPPED SPORT FP 30 SERV,8926516,CAMPBELLS CONDENSED SOUPS(579),12,92.30769231,ALLE GROUND BEEF 80% LEAN,
C4 RIPPED SPORT FP 30 SERV,885395,136172,1202411853,C4 RIPPED SPORT FP 30 SERV,330064000,G.E. KING SIZE WHITE BREAD,12,92.30769231,G.E. KING SIZE WHITE BREAD,
CA'MOMI ROSSO DI NAPA,0,0,1201360593,REFRIG COOKIES & ROLLS,1200068372,SOFT DRINKS,1,100,SPECTRUM ORGANIC FLAX OIL,
CA'MOMI ROSSO DI NAPA,0,0,1201360593,REFRIGERATED DESSERTS,1200068372,SOFT DRINKS,1,100,SPECTRUM ORGANIC FLAX OIL,
CA'MOMI ROSSO DI NAPA,0,0,1201360593,ROSE BOUQUETS,1200068372,SMOKING CESSATION,1,100,SPECTRUM ORGANIC FLAX OIL,
CA'MOMI ROSSO DI NAPA,0,0,1201360593,ROSE BOUQUETS,1200068372,SPECIALTY FOODS,1,100,SPECTRUM ORGANIC FLAX OIL,
CA'MOMI ROSSO DI NAPA,0,0,1201360593,SEAFOOD,1200068372,BAKING,1,100,SPECTRUM ORGANIC FLAX OIL,
CA'MOMI ROSSO DI NAPA,52622,110962,1201360593,CA'MOMI ROSSO DI NAPA,1201203313,ES SWEET KALE SALAD,1,100,ES SWEET KALE SALAD,
CA'MOMI ROSSO DI NAPA,52622,101355,1201360593,CA'MOMI ROSSO DI NAPA,1200068372,SPECTRUM ORGANIC FLAX OIL,1,100,SPECTRUM ORGANIC FLAX OIL,
CABERNET GDN #7   5,40527,15536,9000862,CARNATION ESSENT HIPRO 12 PK(372023),8920597,ONIONS: GREEN(14203),4,100,KUHNE DRESSING YOGURT AND DILL,
CABLE CONNCTR 5PRT 24-14,12950,232694,9001537,B.C. GUSHERS FRUIT SNACKS(7226),1201172831,BM WATER .5L 24PK,195,83.33333333,BM WATER .5L 24PK,
CADBURY ADAMS SOUR PATCH KIDS,13717,414970,8943932,SILVERCREEK SNUFF(14320),null,Unclassified 000000009962,2,66.66666667,Unclassified 000000009962,
CADBURY ADAMS SOUR PATCH KIDS,13717,612173,8943932,SILVERCREEK SNUFF(14320),null,Unclassified 000000094382,2,66.66666667,Unclassified 000000094382,
CADBURY ADAMS SOUR PATCH KIDS,13717,388491,8943932,SILVERCREEK SNUFF(14320),1200000241,POSTAGE STAMPS,2,66.66666667,POSTAGE STAMPS,
CADET SML BLLY STCKS 12CT,0,0,1202415957,TOYS SEASONAL MISC,367000838,PROCESS INDIV WRAP SLICES,1,100,100% HAM SALAD,
CADET SML BLLY STCKS 12CT,0,0,1202415957,OTHER CAMERAS,1200505516,SHAMPOOS,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,0,0,1202415957,OTHER SEAFOOD,1200505516,KOSHER ITEMS,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,0,0,1202415957,OTHER SMOKED MEAT,1200505516,CHILDREN'S VIDEOS,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,0,0,1202415957,PACKAGED SALADS,1200505516,SHAMPOOS,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,0,0,1202415957,PANCAKE MIX AND SYRUP,1200505516,GRAB & GO,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,0,0,1202415957,PAPERBACK BOOKS,1200505516,KOSHER ITEMS,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,0,0,1202415957,PAPERBACK BOOKS,1200505516,LIQUOR - RUMS,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,0,0,1202415957,PAPERBACK BOOKS,1200505516,ORG CITRUS:BAGGED,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,0,0,1202415957,PAPERBACK BOOKS,1200505516,SPECIALTY RTDT/ENERGY DRINKS,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,886125,104799,1202415957,CADET SML BLLY STCKS 12CT,1200505516,PARKAY WHIP SPRD SLVE 2/6.7Z,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
CADET SML BLLY STCKS 12CT,886125,108373,1202415957,CADET SML BLLY STCKS 12CT,367000838,100% HAM SALAD,1,100,100% HAM SALAD,
CADET SML BLLY STCKS 12CT,886125,111868,1202415957,CADET SML BLLY STCKS 12CT,1200591245,BM LUNCH BAGS GIANT 50CT,1,100,BM LUNCH BAGS GIANT 50CT,
CAESAR SALAD SMALL,177111,281745,1200178862,CAESAR SALAD SMALL,1200000144,PICK UP ORDER REFUND,1,100,PICK UP ORDER REFUND,
CAESAR SALAD SMALL,177111,237869,1200178862,CAESAR SALAD SMALL,1200058652,24PC PRIME CHICKEN SERVE 16-18,1,100,24PC PRIME CHICKEN SERVE 16-18,
CAESAR SALAD SMALL,177111,29801,1200178862,CAESAR SALAD SMALL,8936253,MINI CROISSANT MEAT TRAY(320043),1,100,DRY SODA LAVENDER 4PK,
CAESAR SALAD SMALL,177111,196851,1200178862,CAESAR SALAD SMALL,1200917332,MINI SANDWICH MEAT TRAY LG,1,100,MINI SANDWICH MEAT TRAY LG,
CAFE BUSTELO KCUP,895880,232694,1202502260,CAFE BUSTELO KCUP,1201172831,BM WATER .5L 24PK,20,90.90909091,BM WATER .5L 24PK,
CAKE - CARROT,882885,12892,1202410694,CAKE - CARROT,8926516,CAMPBELLS CONDENSED SOUPS(579),5,100,ALLE GROUND BEEF 80% LEAN,
CAKE - CHOC IRSH CHESECKE,0,0,1202572838,FOIL-A,403780826,WINE - OTHER RED WINES,1,100,LAWRY GARLIC POWDER W/PARSLEY,
CAKE - CHOC IRSH CHESECKE,0,0,1202572838,LIQUOR - TEQUILA,1201687852,MARKET DISTRICT ASIAN,1,100,CLV KRAUT WHISKEY DILL SAUERKR,
CAKE - CHOC IRSH CHESECKE,0,0,1202572838,LIQUOR - TEQUILA,1201687852,PLAYBALLS,1,100,CLV KRAUT WHISKEY DILL SAUERKR,
CAKE - CHOC IRSH CHESECKE,0,0,1202572838,LIQUOR - VODKA,1201687852,KETCHUP/MUSTARD-ALL OTHER MUST,1,100,CLV KRAUT WHISKEY DILL SAUERKR,
CAKE - CHOC IRSH CHESECKE,0,0,1202572838,LIQUOR - VODKA,1201687852,SHAMPOOS,1,100,CLV KRAUT WHISKEY DILL SAUERKR,
CAKE - CHOC IRSH CHESECKE,0,0,1202572838,LIQUOR - VODKA,1201687852,STARBUCKS VIA,1,100,CLV KRAUT WHISKEY DILL SAUERKR,
CAKE - CHOC IRSH CHESECKE,0,0,1202572838,LIQUOR - WHISKEY,1201687852,BEERS-BELOW PREM.POPU.&BUDGET,1,100,CLV KRAUT WHISKEY DILL SAUERKR,
CAKE - CHOC IRSH CHESECKE,946759,104364,1202572838,CAKE - CHOC IRSH CHESECKE,273680394,S PACZKI - 6 COUNT,1,100,S PACZKI - 6 COUNT,
CAKE - CHOC IRSH CHESECKE,946759,104340,1202572838,CAKE - CHOC IRSH CHESECKE,1201687852,CLV KRAUT WHISKEY DILL SAUERKR,1,100,CLV KRAUT WHISKEY DILL SAUERKR,
CAKE - CHOC IRSH CHESECKE,946759,108282,1202572838,CAKE - CHOC IRSH CHESECKE,1201388763,MAMA PIA'S HOMESTYLE PASTA SCE,1,100,MAMA PIA'S HOMESTYLE PASTA SCE,
CAKE - CHOC IRSH CHESECKE,946759,102553,1202572838,CAKE - CHOC IRSH CHESECKE,403780826,LAWRY GARLIC POWDER W/PARSLEY,1,100,LAWRY GARLIC POWDER W/PARSLEY,
"CAKE CASSATA 8""",713517,14959,1202150813,"CAKE CASSATA 8""",8931369,SCHWEPPES TONIC 1 LT(5401),1,100,PINEAPPLE BABY,
CAKEBREAD CELLARS CHARDONNAY,38683,116957,1200689303,CAKEBREAD CELLARS CHARDONNAY,1201247306,BING CHERRY,1,100,BING CHERRY,
CAKEBREAD CELLARS CHARDONNAY,38683,12008,1200689303,CAKEBREAD CELLARS CHARDONNAY,111484000,CDNC BRACH JUBE JEL CHERRY HRT,1,100,CDNC BRACH JUBE JEL CHERRY HRT,
CAKEBREAD CELLARS CHARDONNAY,38683,116229,1200689303,CAKEBREAD CELLARS CHARDONNAY,1201116875,BM PURIFIED WATER 20 OZ,1,100,BM PURIFIED WATER 20 OZ,
CALM RASPBERRY LEMON,880029,111090,1202402571,CALM RASPBERRY LEMON,1200796498,JUMBO PUSH POPS,1,100,JUMBO PUSH POPS,
CALM RASPBERRY LEMON,880029,12367,1202402571,CALM RASPBERRY LEMON,8934067,PILLSBURY GRANDS BISCUITS(2091),1,100,BOTANIC CHOICE VITAMIN E 400,
CALM RASPBERRY LEMON,880029,102550,1202402571,CALM RASPBERRY LEMON,1201328812,CREST VIVID WHITE 3D MINT,1,100,CREST VIVID WHITE 3D MINT,
CAMBRIA CLONE 4 PINOR NOIR,916724,12290,1202529054,CAMBRIA CLONE 4 PINOR NOIR,8933817,YELLOWTAIL 1.5 LTR(154381),2,100,ORG ORANGE 4LB,
CAMBRIA CLONE 4 PINOR NOIR,916724,15728,1202529054,CAMBRIA CLONE 4 PINOR NOIR,8933741,BAREFOOT CELL 1.5 LT(182833),2,100,10 LICENSED PLAYBALLS,
CAMEMBERT AU CALVADOS-CD,0,0,1200918095,FOSTER GRANT EYEWEAR,1201389127,WINE - ZINFANDEL,1,100,SUSHIC SPECIAL ORDER,
CAMEMBERT AU CALVADOS-CD,0,0,1200918095,FRENCH CHS & BRIE,1201389127,ART SUPPLIES-A,1,100,SUSHIC SPECIAL ORDER,
CAMEMBERT AU CALVADOS-CD,0,0,1200918095,LIQUOR - BRANDY,1201278371,ASIAN AND THAI,1,100,LIQUID PLUMR HAIR CLOG ELIMIN.,
CAMEMBERT AU CALVADOS-CD,465118,10433,1200918095,CAMEMBERT AU CALVADOS-CD,1201278371,LIQUID PLUMR HAIR CLOG ELIMIN.,1,100,LIQUID PLUMR HAIR CLOG ELIMIN.,
CAMEMBERT AU CALVADOS-CD,465118,103065,1200918095,CAMEMBERT AU CALVADOS-CD,1201389127,SUSHIC SPECIAL ORDER,1,100,SUSHIC SPECIAL ORDER,
CAMEMBERT AU CALVADOS-CD,465118,115891,1200918095,CAMEMBERT AU CALVADOS-CD,1200016759,KERRY GOLD IRISH BUTTER,1,100,KERRY GOLD IRISH BUTTER,
CAMERICAN EVOO,912234,12340,1202519582,CAMERICAN EVOO,8927242,KR SOFT CREAM CHEESE 12 0Z(43314),3,100,TRIDENT ORIGINAL VALU PK,
CAMPO DE MONTALBAN-CD,455511,14119,1201006820,CAMPO DE MONTALBAN-CD,8923448,SQUASH: ZUCCHINI(12891),4,66.66666667,RUSTIC BUCATINI,
